clip_id,source_file,dataset,category,behavior_class,relevance_tier,license,actual_duration_sec,original_sr,num_windows,feature_file,split
esc50_1-115545-C-48,1-115545-C-48.wav,ESC-50,fireworks,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-115545-C-48.npy,train
esc50_1-115546-A-48,1-115546-A-48.wav,ESC-50,fireworks,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-115546-A-48.npy,train
esc50_1-116765-A-41,1-116765-A-41.wav,ESC-50,chainsaw,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-116765-A-41.npy,train
esc50_1-11687-A-47,1-11687-A-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-11687-A-47.npy,val
esc50_1-119125-A-45,1-119125-A-45.wav,ESC-50,train,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-119125-A-45.npy,test
esc50_1-137296-A-16,1-137296-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-137296-A-16.npy,test
esc50_1-160563-A-48,1-160563-A-48.wav,ESC-50,fireworks,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-160563-A-48.npy,train
esc50_1-160563-B-48,1-160563-B-48.wav,ESC-50,fireworks,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-160563-B-48.npy,train
esc50_1-17124-A-43,1-17124-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-17124-A-43.npy,train
esc50_1-172649-A-40,1-172649-A-40.wav,ESC-50,helicopter,NON_STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-172649-A-40.npy,train
esc50_1-172649-B-40,1-172649-B-40.wav,ESC-50,helicopter,NON_STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-172649-B-40.npy,train
esc50_1-172649-C-40,1-172649-C-40.wav,ESC-50,helicopter,NON_STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-172649-C-40.npy,train
esc50_1-172649-D-40,1-172649-D-40.wav,ESC-50,helicopter,NON_STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-172649-D-40.npy,train
esc50_1-172649-E-40,1-172649-E-40.wav,ESC-50,helicopter,NON_STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-172649-E-40.npy,train
esc50_1-172649-F-40,1-172649-F-40.wav,ESC-50,helicopter,NON_STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-172649-F-40.npy,train
esc50_1-17367-A-10,1-17367-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-17367-A-10.npy,val
esc50_1-181071-A-40,1-181071-A-40.wav,ESC-50,helicopter,NON_STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-181071-A-40.npy,train
esc50_1-181071-B-40,1-181071-B-40.wav,ESC-50,helicopter,NON_STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-181071-B-40.npy,val
esc50_1-18527-A-44,1-18527-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-18527-A-44.npy,train
esc50_1-18527-B-44,1-18527-B-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-18527-B-44.npy,test
esc50_1-19026-A-43,1-19026-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-19026-A-43.npy,train
esc50_1-19840-A-36,1-19840-A-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-19840-A-36.npy,train
esc50_1-19872-A-36,1-19872-A-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-19872-A-36.npy,train
esc50_1-19872-B-36,1-19872-B-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-19872-B-36.npy,train
esc50_1-19898-A-41,1-19898-A-41.wav,ESC-50,chainsaw,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-19898-A-41.npy,train
esc50_1-19898-B-41,1-19898-B-41.wav,ESC-50,chainsaw,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-19898-B-41.npy,test
esc50_1-19898-C-41,1-19898-C-41.wav,ESC-50,chainsaw,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-19898-C-41.npy,train
esc50_1-20133-A-39,1-20133-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-20133-A-39.npy,test
esc50_1-21189-A-10,1-21189-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-21189-A-10.npy,test
esc50_1-21896-A-35,1-21896-A-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-21896-A-35.npy,train
esc50_1-22882-A-44,1-22882-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-22882-A-44.npy,train
esc50_1-23222-A-19,1-23222-A-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-23222-A-19.npy,val
esc50_1-23222-B-19,1-23222-B-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-23222-B-19.npy,train
esc50_1-23996-A-35,1-23996-A-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-23996-A-35.npy,train
esc50_1-23996-B-35,1-23996-B-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-23996-B-35.npy,val
esc50_1-24074-A-43,1-24074-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-24074-A-43.npy,train
esc50_1-24076-A-43,1-24076-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-24076-A-43.npy,train
esc50_1-24524-A-19,1-24524-A-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-24524-A-19.npy,train
esc50_1-24524-B-19,1-24524-B-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-24524-B-19.npy,val
esc50_1-24524-C-19,1-24524-C-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-24524-C-19.npy,train
esc50_1-24796-A-47,1-24796-A-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-24796-A-47.npy,train
esc50_1-254507-A-43,1-254507-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-254507-A-43.npy,train
esc50_1-25777-A-48,1-25777-A-48.wav,ESC-50,fireworks,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-25777-A-48.npy,train
esc50_1-25781-A-48,1-25781-A-48.wav,ESC-50,fireworks,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-25781-A-48.npy,test
esc50_1-26176-A-43,1-26176-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-26176-A-43.npy,train
esc50_1-26177-A-43,1-26177-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-26177-A-43.npy,train
esc50_1-26188-A-30,1-26188-A-30.wav,ESC-50,door_wood_knock,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-26188-A-30.npy,val
esc50_1-26222-A-10,1-26222-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-26222-A-10.npy,test
esc50_1-27165-A-35,1-27165-A-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-27165-A-35.npy,train
esc50_1-27166-A-35,1-27166-A-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-27166-A-35.npy,train
esc50_1-28808-A-43,1-28808-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-28808-A-43.npy,train
esc50_1-29532-A-16,1-29532-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-29532-A-16.npy,train
esc50_1-29561-A-10,1-29561-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-29561-A-10.npy,train
esc50_1-31482-A-42,1-31482-A-42.wav,ESC-50,siren,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-31482-A-42.npy,train
esc50_1-31482-B-42,1-31482-B-42.wav,ESC-50,siren,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-31482-B-42.npy,train
esc50_1-32373-A-35,1-32373-A-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-32373-A-35.npy,train
esc50_1-32373-B-35,1-32373-B-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-32373-B-35.npy,train
esc50_1-36929-A-47,1-36929-A-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-36929-A-47.npy,train
esc50_1-43807-A-47,1-43807-A-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-43807-A-47.npy,val
esc50_1-43807-B-47,1-43807-B-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-43807-B-47.npy,train
esc50_1-43807-C-47,1-43807-C-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-43807-C-47.npy,train
esc50_1-43807-D-47,1-43807-D-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-43807-D-47.npy,val
esc50_1-46744-A-36,1-46744-A-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-46744-A-36.npy,train
esc50_1-47250-A-41,1-47250-A-41.wav,ESC-50,chainsaw,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-47250-A-41.npy,train
esc50_1-47250-B-41,1-47250-B-41.wav,ESC-50,chainsaw,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-47250-B-41.npy,train
esc50_1-47709-A-16,1-47709-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-47709-A-16.npy,train
esc50_1-47714-A-16,1-47714-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-47714-A-16.npy,train
esc50_1-49098-A-35,1-49098-A-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-49098-A-35.npy,val
esc50_1-50060-A-10,1-50060-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-50060-A-10.npy,train
esc50_1-50454-A-44,1-50454-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-50454-A-44.npy,train
esc50_1-50455-A-44,1-50455-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-50455-A-44.npy,train
esc50_1-50661-A-44,1-50661-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-50661-A-44.npy,val
esc50_1-51035-A-16,1-51035-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-51035-A-16.npy,train
esc50_1-51036-A-16,1-51036-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-51036-A-16.npy,train
esc50_1-51037-A-16,1-51037-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-51037-A-16.npy,train
esc50_1-52290-A-30,1-52290-A-30.wav,ESC-50,door_wood_knock,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-52290-A-30.npy,train
esc50_1-53467-A-47,1-53467-A-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-53467-A-47.npy,val
esc50_1-54065-A-45,1-54065-A-45.wav,ESC-50,train,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-54065-A-45.npy,train
esc50_1-54065-B-45,1-54065-B-45.wav,ESC-50,train,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-54065-B-45.npy,val
esc50_1-54084-A-42,1-54084-A-42.wav,ESC-50,siren,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-54084-A-42.npy,train
esc50_1-54958-A-10,1-54958-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-54958-A-10.npy,train
esc50_1-56311-A-10,1-56311-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-56311-A-10.npy,train
esc50_1-60460-A-36,1-60460-A-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-60460-A-36.npy,train
esc50_1-61261-A-44,1-61261-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-61261-A-44.npy,train
esc50_1-62509-A-45,1-62509-A-45.wav,ESC-50,train,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-62509-A-45.npy,train
esc50_1-62565-A-44,1-62565-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_1-62565-A-44.npy,train
esc50_1-63871-A-10,1-63871-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-63871-A-10.npy,train
esc50_1-64398-A-41,1-64398-A-41.wav,ESC-50,chainsaw,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-64398-A-41.npy,train
esc50_1-64398-B-41,1-64398-B-41.wav,ESC-50,chainsaw,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-64398-B-41.npy,test
esc50_1-64473-A-45,1-64473-A-45.wav,ESC-50,train,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-64473-A-45.npy,train
esc50_1-69760-A-16,1-69760-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_1-69760-A-16.npy,train
esc50_1-70300-A-45,1-70300-A-45.wav,ESC-50,train,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-70300-A-45.npy,train
esc50_1-76831-A-42,1-76831-A-42.wav,ESC-50,siren,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-76831-A-42.npy,train
esc50_1-76831-B-42,1-76831-B-42.wav,ESC-50,siren,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-76831-B-42.npy,train
esc50_1-76831-C-42,1-76831-C-42.wav,ESC-50,siren,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-76831-C-42.npy,train
esc50_1-76831-D-42,1-76831-D-42.wav,ESC-50,siren,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-76831-D-42.npy,val
esc50_1-76831-E-42,1-76831-E-42.wav,ESC-50,siren,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-76831-E-42.npy,val
esc50_1-79236-A-36,1-79236-A-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-79236-A-36.npy,val
esc50_1-81001-A-30,1-81001-A-30.wav,ESC-50,door_wood_knock,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-81001-A-30.npy,train
esc50_1-81001-B-30,1-81001-B-30.wav,ESC-50,door_wood_knock,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-81001-B-30.npy,train
esc50_1-82817-A-30,1-82817-A-30.wav,ESC-50,door_wood_knock,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-82817-A-30.npy,train
esc50_1-84536-A-39,1-84536-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-84536-A-39.npy,train
esc50_1-84704-A-39,1-84704-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-84704-A-39.npy,train
esc50_1-84705-A-39,1-84705-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-84705-A-39.npy,train
esc50_1-85168-A-39,1-85168-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-85168-A-39.npy,train
esc50_1-85184-A-39,1-85184-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-85184-A-39.npy,train
esc50_1-88409-A-45,1-88409-A-45.wav,ESC-50,train,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-88409-A-45.npy,train
esc50_1-88409-B-45,1-88409-B-45.wav,ESC-50,train,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-88409-B-45.npy,train
esc50_1-88807-A-39,1-88807-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-88807-A-39.npy,train
esc50_1-977-A-39,1-977-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_1-977-A-39.npy,train
esc50_2-100648-A-43,2-100648-A-43.wav,ESC-50,car_horn,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-100648-A-43.npy,train
esc50_2-101676-A-10,2-101676-A-10.wav,ESC-50,rain,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-101676-A-10.npy,test
esc50_2-102567-A-35,2-102567-A-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-102567-A-35.npy,test
esc50_2-102567-B-35,2-102567-B-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-102567-B-35.npy,test
esc50_2-102567-C-35,2-102567-C-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-102567-C-35.npy,test
esc50_2-102567-D-35,2-102567-D-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-102567-D-35.npy,test
esc50_2-102568-A-35,2-102568-A-35.wav,ESC-50,washing_machine,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-102568-A-35.npy,val
esc50_2-104105-A-19,2-104105-A-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-104105-A-19.npy,train
esc50_2-104105-B-19,2-104105-B-19.wav,ESC-50,thunderstorm,IMPULSIVE,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-104105-B-19.npy,train
esc50_2-104952-A-16,2-104952-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-104952-A-16.npy,train
esc50_2-104952-B-16,2-104952-B-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-104952-B-16.npy,test
esc50_2-105270-A-47,2-105270-A-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-105270-A-47.npy,train
esc50_2-106014-A-44,2-106014-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106014-A-44.npy,val
esc50_2-106015-A-44,2-106015-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106015-A-44.npy,train
esc50_2-106015-B-44,2-106015-B-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106015-B-44.npy,val
esc50_2-106072-A-36,2-106072-A-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106072-A-36.npy,train
esc50_2-106073-A-36,2-106073-A-36.wav,ESC-50,vacuum_cleaner,STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106073-A-36.npy,train
esc50_2-106486-A-44,2-106486-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106486-A-44.npy,test
esc50_2-106487-A-44,2-106487-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106487-A-44.npy,train
esc50_2-106849-A-47,2-106849-A-47.wav,ESC-50,airplane,NON_STATIONARY,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106849-A-47.npy,val
esc50_2-106881-A-39,2-106881-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-106881-A-39.npy,train
esc50_2-107228-A-44,2-107228-A-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_2-107228-A-44.npy,test
esc50_2-107228-B-44,2-107228-B-44.wav,ESC-50,engine,STATIONARY,CORE,CC_BY_NC_4.0,5.0,44100,99,esc50_2-107228-B-44.npy,val
esc50_2-109371-A-16,2-109371-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-109371-A-16.npy,train
esc50_2-109371-B-16,2-109371-B-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-109371-B-16.npy,train
esc50_2-109371-C-16,2-109371-C-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-109371-C-16.npy,train
esc50_2-109371-D-16,2-109371-D-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-109371-D-16.npy,test
esc50_2-109374-A-16,2-109374-A-16.wav,ESC-50,wind,STATIONARY,ENVIRONMENTAL,CC_BY_NC_4.0,5.0,44100,99,esc50_2-109374-A-16.npy,train
esc50_2-112213-A-39,2-112213-A-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-112213-A-39.npy,train
esc50_2-112213-B-39,2-112213-B-39.wav,ESC-50,glass_breaking,IMPULSIVE,PROXY,CC_BY_NC_4.0,5.0,44100,99,esc50_2-112213-B-39.npy,test
